
[2023-08-05 10:35:49,705] Register - Step 01: Click to Register Link
[2023-08-08 10:27:54,238] Register - Step 10:Enter to password textbox with value is '123456'
[2023-08-08 10:27:54,347] Register - Step 11:Enter to Confirm password textbox with value is '123456'
[2023-08-08 10:27:54,452] Register - Step 12: Click to Register Button
[2023-08-08 10:27:56,150] Register - Step 13: Verify Register Success Message
[2023-08-08 10:27:56,241] Login - Step 01: Click to Login Link
[2023-08-08 10:27:57,009] Login - Step 02:Enter to emailAddress textbox with value is 'automatonfc3617@fakemail.vn'
[2023-08-08 10:27:57,119] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-08 10:27:57,212] Login - Step 04: Click Login Button
[2023-08-08 10:27:58,591] Login - Step 05: Verify True My Account isDisplayed
[2023-08-08 10:27:58,708] My Account - Step 01: Navigate to My Account page
[2023-08-08 10:27:59,443] My Account - Step 02: Verify True Customer Info isDisplayed
[2023-08-08 10:27:59,521] My Account - Step 03: Verify First Name value
[2023-08-08 10:27:59,580] My Account - Step 03: Verify Last Name value
[2023-08-08 10:27:59,645] My Account - Step 03: Verify Email value
[2023-08-08 10:27:59,709] OS name = windows 10
[2023-08-08 10:27:59,709] Driver instance name = firefoxdriver: firefox on windows (9bd44c55-7da9-49d7-9865-c67b71112a3e)
[2023-08-09 21:16:14,042] Register - Step 01: Click to Register Link
[2023-08-09 21:16:15,124] Register - Step 02: Click to Radio Button Male
[2023-08-09 21:16:15,443] Register - Step 03:Enter to FirstName textbox with value is 'auro'
[2023-08-09 21:16:15,573] Register - Step 04:Enter to LastName textbox with value is 'FC'
[2023-08-09 21:16:15,666] Regiater - Step 05: Select Dropdow Day
[2023-08-09 21:16:16,055] Regiater - Step 06: Select Dropdow Month
[2023-08-09 21:16:16,385] Regiater - Step 07: Select Dropdow Year
[2023-08-09 21:16:16,760] Register - Step 08:Enter to emailAddress textbox with value is 'automatonfc1765@fakemail.vn'
[2023-08-09 21:16:16,935] Register - Step 09: Click to Checkbox button
[2023-08-09 21:16:17,003] Register - Step 10:Enter to password textbox with value is '123456'
[2023-08-09 21:16:17,115] Register - Step 11:Enter to Confirm password textbox with value is '123456'
[2023-08-09 21:16:17,198] Register - Step 12: Click to Register Button
[2023-08-09 21:16:18,073] Register - Step 13: Verify Register Success Message
[2023-08-09 21:16:18,180] Login - Step 01: Click to Login Link
[2023-08-09 21:16:18,694] Login - Step 02:Enter to emailAddress textbox with value is 'automatonfc1765@fakemail.vn'
[2023-08-09 21:16:18,808] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-09 21:16:18,935] Login - Step 04: Click Login Button
[2023-08-09 21:16:19,697] Login - Step 05: Verify True My Account isDisplayed
[2023-08-09 21:16:19,782] My Account - Step 01: Navigate to My Account page
[2023-08-09 21:16:20,245] My Account - Step 02: Verify True Customer Info isDisplayed
[2023-08-09 21:16:20,344] My Account - Step 03: Verify First Name value
[2023-08-09 21:16:20,400] My Account - Step 03: Verify Last Name value
[2023-08-09 21:16:20,463] My Account - Step 03: Verify Email value
[2023-08-09 21:16:20,561] OS name = windows 10
[2023-08-09 21:16:20,561] Driver instance name = firefoxdriver: firefox on windows (8a108a60-a5a7-40d8-9be3-b50fdfa1dff1)
[2023-08-09 21:16:53,159] OS name = windows 10
[2023-08-09 21:16:53,160] Driver instance name = firefoxdriver: firefox on windows (8b9635b8-7a74-49d0-ba37-43552a57f67b)
[2023-08-09 21:17:10,947] OS name = windows 10
[2023-08-09 21:17:10,947] Driver instance name = firefoxdriver: firefox on windows (e3656bb2-7493-4138-8e2e-85b5de1d5abd)
[2023-08-10 08:54:11,400] OS name = windows 10
[2023-08-10 08:54:11,401] 
[2023-08-10 10:42:43,489] OS name = windows 10
[2023-08-10 10:42:43,489] 
[2023-08-10 10:43:09,659] Register - Step 01: Click to Register Link
[2023-08-10 10:43:11,109] Register - Step 02: Click to Radio Button Male
[2023-08-10 10:43:11,412] Register - Step 03:Enter to FirstName textbox with value is 'auro'
[2023-08-10 10:43:11,501] Register - Step 04:Enter to LastName textbox with value is 'FC'
[2023-08-10 10:43:11,620] Regiater - Step 05: Select Dropdow Day
[2023-08-10 10:43:11,939] Regiater - Step 06: Select Dropdow Month
[2023-08-10 10:43:12,263] Regiater - Step 07: Select Dropdow Year
[2023-08-10 10:43:12,592] Register - Step 08:Enter to emailAddress textbox with value is 'automatonfc3772@fakemail.vn'
[2023-08-10 10:43:12,689] Register - Step 09: Click to Checkbox button
[2023-08-10 10:43:12,745] Register - Step 10:Enter to password textbox with value is '123456'
[2023-08-10 10:43:12,834] Register - Step 11:Enter to Confirm password textbox with value is '123456'
[2023-08-10 10:43:12,929] Register - Step 12: Click to Register Button
[2023-08-10 10:43:13,772] Register - Step 13: Verify Register Success Message
[2023-08-10 10:43:13,910] Login - Step 01: Click to Login Link
[2023-08-10 10:43:14,364] Login - Step 02:Enter to emailAddress textbox with value is 'automatonfc3772@fakemail.vn'
[2023-08-10 10:43:14,477] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-10 10:43:14,573] Login - Step 04: Click Login Button
[2023-08-10 10:43:15,570] Login - Step 05: Verify True My Account isDisplayed
[2023-08-10 10:43:15,672] My Account - Step 01: Navigate to My Account page
[2023-08-10 10:43:16,168] My Account - Step 02: Verify True Customer Info isDisplayed
[2023-08-10 10:43:16,264] My Account - Step 03: Verify First Name value
[2023-08-10 10:43:16,321] My Account - Step 03: Verify Last Name value
[2023-08-10 10:43:16,384] My Account - Step 03: Verify Email value
[2023-08-10 10:43:16,450] OS name = windows 10
[2023-08-10 10:43:16,450] Driver instance name = firefoxdriver: firefox on windows (3da06d13-7133-467d-8361-0f9fd74f1169)
[2023-08-10 14:14:32,891] Register - Step 01: Click to Register Link
[2023-08-10 14:14:34,152] Register - Step 02: Click to Radio Button Male
[2023-08-10 14:14:34,492] Register - Step 03:Enter to FirstName textbox with value is 'auro'
[2023-08-10 14:14:34,626] Register - Step 04:Enter to LastName textbox with value is 'FC'
[2023-08-10 14:14:34,749] Regiater - Step 05: Select Dropdow Day
[2023-08-10 14:14:35,129] Regiater - Step 06: Select Dropdow Month
[2023-08-10 14:14:35,518] Regiater - Step 07: Select Dropdow Year
[2023-08-10 14:14:35,929] Register - Step 08:Enter to emailAddress textbox with value is 'automatonfc5928@fakemail.vn'
[2023-08-10 14:14:36,112] Register - Step 09: Click to Checkbox button
[2023-08-10 14:14:36,183] Register - Step 10:Enter to password textbox with value is '123456'
[2023-08-10 14:14:36,339] Register - Step 11:Enter to Confirm password textbox with value is '123456'
[2023-08-10 14:14:36,496] Register - Step 12: Click to Register Button
[2023-08-10 14:14:38,523] Register - Step 13: Verify Register Success Message
[2023-08-10 14:14:38,816] Login - Step 01: Click to Login Link
[2023-08-10 14:14:56,020] Login - Step 02:Enter to emailAddress textbox with value is 'automatonfc5928@fakemail.vn'
[2023-08-10 14:14:56,145] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-10 14:14:56,277] Login - Step 04: Click Login Button
[2023-08-10 14:14:58,543] Login - Step 05: Verify True My Account isDisplayed
[2023-08-10 14:14:58,662] My Account - Step 01: Navigate to My Account page
[2023-08-10 14:14:59,283] My Account - Step 02: Verify True Customer Info isDisplayed
[2023-08-10 14:14:59,459] My Account - Step 03: Verify First Name value
[2023-08-10 14:14:59,595] My Account - Step 03: Verify Last Name value
[2023-08-10 14:14:59,731] My Account - Step 03: Verify Email value
[2023-08-10 14:14:59,864] OS name = windows 10
[2023-08-10 14:14:59,865] Driver instance name = firefoxdriver: firefox on windows (5389465d-a87b-4996-aa13-775db7c3d35e)
[2023-08-10 14:22:26,248] OS name = windows 10
[2023-08-10 14:22:26,249] 
[2023-08-10 22:42:56,325] OS name = windows 10
[2023-08-10 22:42:56,325] Driver instance name = firefoxdriver: firefox on windows (59194708-d6e5-465a-abec-58fb7aa7fe6e)
[2023-08-10 22:44:23,573] Register - Step 01: Click to Register Link
[2023-08-10 22:44:24,805] Register - Step 02: Click to Radio Button Male
[2023-08-10 22:44:25,144] Register - Step 03:Enter to FirstName textbox with value is 'auro'
[2023-08-10 22:44:25,355] Register - Step 04:Enter to LastName textbox with value is 'FC'
[2023-08-10 22:44:25,535] Regiater - Step 05: Select Dropdow Day
[2023-08-10 22:44:25,969] Regiater - Step 06: Select Dropdow Month
[2023-08-10 22:44:26,379] Regiater - Step 07: Select Dropdow Year
[2023-08-10 22:44:26,797] Register - Step 08:Enter to emailAddress textbox with value is 'automatonfc5597@fakemail.vn'
[2023-08-10 22:44:26,938] Register - Step 09: Click to Checkbox button
[2023-08-10 22:44:27,007] Register - Step 10:Enter to password textbox with value is '123456'
[2023-08-10 22:44:27,163] Register - Step 11:Enter to Confirm password textbox with value is '123456'
[2023-08-10 22:44:27,293] Register - Step 12: Click to Register Button
[2023-08-10 22:44:28,297] Register - Step 13: Verify Register Success Message
[2023-08-10 22:44:28,583] Login - Step 01: Click to Login Link
[2023-08-10 22:44:29,266] Login - Step 02:Enter to emailAddress textbox with value is 'automatonfc5597@fakemail.vn'
[2023-08-10 22:44:29,449] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-10 22:44:29,614] Login - Step 04: Click Login Button
[2023-08-10 22:44:30,408] Login - Step 05: Verify True My Account isDisplayed
[2023-08-10 22:44:30,504] My Account - Step 01: Navigate to My Account page
[2023-08-10 22:44:31,136] My Account - Step 02: Verify True Customer Info isDisplayed
[2023-08-10 22:44:31,363] My Account - Step 03: Verify First Name value
[2023-08-10 22:44:31,731] My Account - Step 03: Verify Last Name value
[2023-08-10 22:44:31,870] My Account - Step 03: Verify Email value
[2023-08-10 22:44:32,005] OS name = windows 10
[2023-08-10 22:44:32,005] Driver instance name = firefoxdriver: firefox on windows (677d4f71-044c-4d07-af27-3d04a2670431)
[2023-08-10 22:45:06,150] Register - Step 01: Click to Register Link
[2023-08-10 22:45:07,357] Register - Step 02: Click to Radio Button Male
[2023-08-10 22:45:07,688] Register - Step 03:Enter to FirstName textbox with value is 'auto'
[2023-08-10 22:45:07,853] Register - Step 04:Enter to LastName textbox with value is 'FC'
[2023-08-10 22:45:07,987] Regiater - Step 05: Select Dropdow Day
[2023-08-10 22:45:08,414] Regiater - Step 06: Select Dropdow Month
[2023-08-10 22:45:08,837] Regiater - Step 07: Select Dropdow Year
[2023-08-10 22:45:09,248] Register - Step 08:Enter to emailAddress textbox with value is 'afcautom3637@gmail.vn'
[2023-08-10 22:45:09,412] Register - Step 09: Click to Checkbox button
[2023-08-10 22:45:09,488] Register - Step 10:Enter to password textbox with value is '123456'
[2023-08-10 22:45:09,659] Register - Step 11:Enter to Confirm password textbox with value is '123456'
[2023-08-10 22:45:09,821] Register - Step 12: Click to Register Button
[2023-08-10 22:45:10,861] Register - Step 13: Verify Register Success Message
[2023-08-10 22:45:11,150] Login - Step 01: Click to Login Link
[2023-08-10 22:45:17,813] Login - Step 02:Enter to emailAddress textbox with value is 'afcautom3637@gmail.vn'
[2023-08-10 22:45:17,972] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-10 22:45:18,138] Login - Step 04: Click Login Button
[2023-08-10 22:45:19,027] Login - Step 05: Verify True My Account isDisplayed
[2023-08-10 22:45:19,201] My Account - Step 01: Navigate to My Account page
[2023-08-10 22:45:19,767] My Account - Step 02: Verify True Customer Info isDisplayed
[2023-08-10 22:45:19,914] My Account - Step 03: Verify First Name value
[2023-08-10 22:45:20,035] My Account - Step 03: Verify Last Name value
[2023-08-10 22:45:20,161] My Account - Step 03: Verify Email value
[2023-08-10 22:45:20,306] OS name = windows 10
[2023-08-10 22:45:20,307] Driver instance name = firefoxdriver: firefox on windows (8b3f7ba0-3325-4801-a063-80d49dc501b9)
